h;V;C;L*;a*;b*;R;G;B
10GY;9;16;91.08;-77.15;71.4;0.3136;1;0.2928
10GY;9;18;91.08;-86.08;80.4;0.0612;1;0.1601
2.5G;9;2;91.08;-12.97;7.52;0.8172;0.9285;0.8405
2.5G;9;4;91.08;-23.62;13.72;0.745;0.95;0.7924
2.5G;9;6;91.08;-35.4;20.52;0.6564;0.972;0.7391
2.5G;9;8;91.08;-45.37;26.01;0.5699;0.9892;0.6955
2.5G;9;10;91.08;-55.54;31.58;0.4646;1;0.6507
2.5G;9;12;91.08;-65.21;36.76;0.3307;1;0.6083
5G;9;2;91.08;-13.1;5.38;0.8076;0.9294;0.8565
5G;9;4;91.08;-24.22;9.44;0.7207;0.9523;0.8244
5G;9;6;91.08;-36.34;13.56;0.6118;0.9754;0.7917
5G;9;8;91.08;-47.05;16.89;0.4949;0.9942;0.7649
5G;9;10;91.08;-57.04;19.8;0.3475;1;0.7413
7.5G;9;2;91.08;-13.06;3.71;0.801;0.9298;0.8689
7.5G;9;4;91.08;-24.35;6.69;0.7064;0.9534;0.8451
7.5G;9;6;91.08;-36.36;9.55;0.5894;0.9764;0.8219
7.5G;9;8;91.08;-47.07;11.94;0.4584;0.9954;0.8024
7.5G;9;10;91.08;-56.91;13.86;0.2806;1;0.7865
10G;9;2;91.08;-12.8;2.31;0.7973;0.9296;0.8794
10G;9;4;91.08;-23.98;4.03;0.6971;0.9533;0.865
10G;9;6;91.08;-35.73;5.54;0.5726;0.9763;0.8521
10G;9;8;91.08;-46.7;6.92;0.4221;0.996;0.8403
10G;9;10;91.08;-56.18;7.76;0.1987;1;0.8328
2.5BG;9;2;91.08;-12.53;1.12;0.7946;0.9294;0.8884
2.5BG;9;4;91.08;-23.51;1.68;0.6901;0.953;0.8827
2.5BG;9;6;91.08;-35.14;2.1;0.5572;0.9761;0.878
2.5BG;9;8;91.08;-45.91;2.34;0.391;0.9958;0.8749
2.5BG;9;10;91.08;-55.41;2.38;0.0592;1;0.8734
5BG;9;2;91.08;-11.79;-0.38;0.7949;0.9281;0.8997
5BG;9;4;91.08;-22.71;-1.04;0.684;0.9521;0.9031
5BG;9;6;91.08;-34.02;-1.9;0.5436;0.9751;0.9082
5BG;9;8;91.08;-44.76;-3.01;0.3527;0.9953;0.9152
7.5BG;9;2;91.08;-10.7;-2.23;0.7965;0.9262;0.9137
7.5BG;9;4;91.08;-21.28;-4.41;0.6805;0.9501;0.9285
7.5BG;9;6;91.08;-32.01;-6.81;0.5339;0.9726;0.9452
7.5BG;9;8;91.08;-42.71;-9.34;0.3113;0.9935;0.9629
10BG;9;2;91.08;-9.53;-3.33;0.8022;0.9239;0.922
10BG;9;4;91.08;-19.64;-7.25;0.6818;0.9476;0.95
10BG;9;6;91.08;-29.78;-11.05;0.5309;0.9696;0.9772
2.5B;9;2;91.08;-7.81;-4.52;0.8127;0.9202;0.9311
2.5B;9;4;91.08;-17.56;-9.97;0.6884;0.944;0.9706
5B;9;2;91.08;-6.16;-5.2;0.8245;0.9166;0.9364
5B;9;4;91.08;-14.52;-12.55;0.7057;0.9382;0.9902
7.5B;9;2;91.08;-4.49;-5.45;0.8383;0.9127;0.9385
7.5B;9;4;91.08;-11.58;-13.99;0.728;0.9321;1
10B;9;2;91.08;-3.33;-5.67;0.8476;0.91;0.9402
10B;9;4;91.08;-8.35;-15.03;0.7549;0.9251;1
2.5PB;9;2;91.08;-1.33;-5.73;0.8647;0.9051;0.941
5PB;9;2;91.08;-0.21;-5.69;0.8745;0.9023;0.9409
7.5PB;9;2;91.08;1.28;-5.49;0.8879;0.8986;0.9396
10PB;9;2;91.08;2.35;-5.05;0.8987;0.8957;0.9364
10PB;9;4;91.08;6.41;-14.81;0.8917;0.8888;1
2.5P;9;2;91.08;3.1;-4.96;0.9053;0.8937;0.9359
2.5P;9;4;91.08;8.4;-13.39;0.9148;0.883;0.9993
5P;9;2;91.08;3.51;-4.35;0.911;0.8925;0.9314
5P;9;4;91.08;10.24;-12.56;0.9334;0.8778;0.9934
7.5P;9;2;91.08;4.46;-2.92;0.9242;0.8896;0.9209
7.5P;9;4;91.08;12.96;-8.49;0.9711;0.8689;0.9635
7.5P;9;6;91.08;20.92;-13.91;1;0.8482;1
10P;9;2;91.08;4.85;-2.1;0.9304;0.8883;0.9149
10P;9;4;91.08;13.88;-6.08;0.9871;0.8654;0.9457
10P;9;6;91.08;22.64;-10.06;1;0.8416;0.9765
2.5RP;9;2;91.08;5.2;-1.25;0.9363;0.8871;0.9086
2.5RP;9;4;91.08;14.41;-3.46;1;0.863;0.9264
2.5RP;9;6;91.08;24.14;-5.79;1;0.8355;0.9451
5RP;9;2;91.08;5.43;-0.21;0.9419;0.8862;0.9009
5RP;9;4;91.08;15.06;-0.46;1;0.8602;0.9042
5RP;9;6;91.08;25.07;-0.94;1;0.8308;0.9094
7.5RP;9;2;91.08;5.57;0.64;0.9459;0.8856;0.8946
7.5RP;9;4;91.08;15.38;1.81;1;0.8585;0.8874
7.5RP;9;6;91.08;25.43;2.88;1;0.8284;0.8811
