h;V;C;L*;a*;b*;R;G;B
7.5GY;3;2;30.76;-7.58;7.74;0.2543;0.2968;0.2355
7.5GY;3;4;30.76;-16.09;17.39;0.2178;0.3094;0.1739
7.5GY;3;6;30.76;-23.82;27.27;0.1784;0.3195;0.1042
10GY;3;2;30.76;-8.26;6.08;0.2442;0.2984;0.2454
10GY;3;4;30.76;-17.96;13.36;0.1914;0.3127;0.1991
10GY;3;6;30.76;-27.12;20.66;0.1248;0.3246;0.1504
2.5G;3;2;30.76;-8.72;4.29;0.235;0.2996;0.2563
2.5G;3;4;30.76;-19.23;8.91;0.1616;0.3155;0.2267
2.5G;3;6;30.76;-29.53;13.06;0.0252;0.3287;0.1995
5G;3;2;30.76;-9.06;2.96;0.2282;0.3004;0.2645
5G;3;4;30.76;-19.87;6.16;0.1412;0.3169;0.2434
7.5G;3;2;30.76;-9.06;1.92;0.2237;0.3007;0.2707
7.5G;3;4;30.76;-20.13;3.98;0.1243;0.3177;0.2569
10G;3;2;30.76;-9.06;0.81;0.2193;0.301;0.2775
10G;3;4;30.76;-20.13;1.53;0.1059;0.3182;0.2719
2.5BG;3;2;30.76;-8.83;-0.52;0.216;0.3009;0.2855
2.5BG;3;4;30.76;-19.62;-1.23;0.0884;0.3181;0.2888
5BG;3;2;30.76;-8.6;-2.1;0.2111;0.3008;0.2952
5BG;3;4;30.76;-18.59;-4.6;0.0686;0.3174;0.3095
7.5BG;3;2;30.76;-8.15;-3.49;0.2085;0.3004;0.3038
7.5BG;3;4;30.76;-17.33;-7.51;0.0528;0.3164;0.3274
10BG;3;2;30.76;-7.58;-4.88;0.2065;0.2999;0.3122
10BG;3;4;30.76;-15.59;-10.36;0.0506;0.3144;0.3449
2.5B;3;2;30.76;-6.79;-6.13;0.2079;0.2987;0.3198
2.5B;3;4;30.76;-13.53;-12.96;0.0555;0.3121;0.3609
5B;3;2;30.76;-5.9;-7.25;0.2101;0.2974;0.3269
5B;3;4;30.76;-11.03;-15.08;0.08;0.3087;0.3741
7.5B;3;2;30.76;-4.47;-8.35;0.2171;0.2951;0.3335
7.5B;3;4;30.76;-7.92;-16.73;0.1152;0.3041;0.3843
10B;3;2;30.76;-2.73;-9.2;0.2272;0.2922;0.3389
10B;3;4;30.76;-4.8;-17.77;0.1495;0.2989;0.391
2.5PB;3;2;30.76;-0.92;-9.78;0.24;0.2887;0.3426
2.5PB;3;4;30.76;-1.24;-18.58;0.185;0.2924;0.3962
